"","time","humidity","temperature","pressure","voc","pm1.0_atm","pm2.5_atm","pm10.0_atm"
"1",2024-06-26 17:00:00,36.8333333333333,80.1666666666667,889.248333333333,NA,0.316666666666667,0.618333333333333,1.03833333333333
"2",2024-06-26 18:00:00,30.5,84.6333333333333,888.77,881.587,0.206833333333333,0.426666666666667,0.719166666666667
"3",2024-06-26 19:00:00,26.8666666666667,88.5333333333333,887.738,871.550666666667,0.319666666666667,0.5775,0.765333333333333
"4",2024-06-26 20:00:00,22.9333333333333,92.7666666666667,886.999,897.941333333333,0.449166666666667,0.669333333333333,0.8605
"5",2024-06-26 21:00:00,20.3666666666667,96.7333333333333,886.203666666667,923.317333333333,0.603166666666667,0.867,1.092
"6",2024-06-26 22:00:00,20.8,97.8,885.487,911.903,0.823,1.13233333333333,1.36183333333333
"7",2024-06-26 23:00:00,21.3666666666667,98.5,884.907666666667,911.706333333333,1.05716666666667,1.4435,1.62666666666667
"8",2024-06-27,32.8666666666667,90.7333333333333,884.959,877.316666666667,1.11516666666667,1.546,2.02166666666667
"9",2024-06-27 01:00:00,37.3448275862069,84.6551724137931,885.080689655172,786.383103448276,1.26586206896552,1.68810344827586,2.02396551724138
"10",2024-06-27 02:00:00,43.9666666666667,79.5333333333333,884.716333333333,724.14,1.43766666666667,1.91833333333333,2.29933333333333
"11",2024-06-27 03:00:00,45.4333333333333,77.3,883.925333333333,683.251,1.37283333333333,1.80933333333333,2.1515
"12",2024-06-27 04:00:00,53.6428571428571,71.9285714285714,883.561428571429,674.054285714286,1.88589285714286,2.43767857142857,2.76
"13",2024-06-27 05:00:00,58.5333333333333,68.6666666666667,883.143666666667,666.224666666667,2.70366666666667,3.43533333333333,3.78916666666667
"14",2024-06-27 06:00:00,62.6666666666667,65.8333333333333,882.757,653.399333333333,3.428,4.29766666666667,4.59833333333333
"15",2024-06-27 07:00:00,65.0333333333333,63.7333333333333,882.346666666667,611.981333333333,3.98333333333333,4.959,5.25166666666667
"16",2024-06-27 08:00:00,65.0689655172414,63.1034482758621,882.064482758621,603.876206896552,4.10344827586207,5.13534482758621,5.41775862068966
"17",2024-06-27 09:00:00,65.4285714285714,62.7857142857143,881.7625,592.014285714286,4.76035714285714,5.9425,6.19375
"18",2024-06-27 10:00:00,64.5333333333333,62.9666666666667,881.319666666667,585.283,4.79283333333333,6.00266666666667,6.30966666666667
"19",2024-06-27 11:00:00,60.8,65.5,880.577333333333,553.232666666667,4.83783333333333,6.01533333333333,6.268
"20",2024-06-27 12:00:00,53.0333333333333,70.6666666666667,880.027,564.713666666667,4.68566666666667,5.79533333333333,6.10733333333333
"21",2024-06-27 13:00:00,47.7666666666667,75.3,879.426666666667,602.592333333333,4.53866666666667,5.59966666666667,6.02033333333333
"22",2024-06-27 14:00:00,40.4666666666667,83.0333333333333,878.892333333333,618.713,4.30283333333333,5.26116666666667,5.508
"23",2024-06-27 15:00:00,35.8,88.3666666666667,878.353,619.658666666667,4.21166666666667,5.12816666666667,5.47033333333333
"24",2024-06-27 16:00:00,32.1333333333333,89.3666666666667,877.766,560.616333333333,3.13433333333333,3.86366666666667,4.03866666666667
"25",2024-06-27 17:00:00,25.9666666666667,97.0333333333333,876.850666666667,576.153333333333,2.627,3.115,3.29783333333333
"26",2024-06-27 18:00:00,22.8666666666667,100.1,876.056333333333,585.041,1.4695,1.86833333333333,2.0615
"27",2024-06-27 19:00:00,22.3666666666667,101.066666666667,875.232666666667,563.135333333333,1.32966666666667,1.73166666666667,1.86716666666667
"28",2024-06-27 20:00:00,20.1,96.7,874.772,519.133666666667,0.5305,0.8365,1.18983333333333
"29",2024-06-27 21:00:00,42.8333333333333,77.3333333333333,877.843333333333,337.412666666667,1.48133333333333,2.807,5.029
"30",2024-06-27 22:00:00,50.3666666666667,75,879.24,331.025333333333,0.711166666666667,1.1625,1.65716666666667
"31",2024-06-27 23:00:00,39.8666666666667,80,879.091,356.524333333333,0.507666666666667,0.816333333333333,1.08116666666667
"32",2024-06-28,39.551724137931,79.3448275862069,878.978620689655,324.435862068965,0.672068965517241,0.986034482758621,1.20913793103448
"33",2024-06-28 01:00:00,43,76.6333333333333,879.076333333333,297.265666666667,0.776166666666667,1.08566666666667,1.26383333333333
"34",2024-06-28 02:00:00,45.3,75.4333333333333,879.374666666667,327.54,1.519,1.89033333333333,2.0515
"35",2024-06-28 03:00:00,59.6206896551724,67.7241379310345,880.058620689655,293.247586206897,1.7101724137931,2.16206896551724,2.38120689655172
"36",2024-06-28 04:00:00,65.6206896551724,64,880.546206896552,327.432068965517,2.10275862068966,2.58,2.76465517241379
"37",2024-06-28 05:00:00,69.7,61.5333333333333,880.738,340.206666666667,2.68633333333333,3.26316666666667,3.52816666666667
"38",2024-06-28 06:00:00,68.5333333333333,62.5333333333333,881.353,359.503666666667,2.78416666666667,3.38633333333333,3.64583333333333
"39",2024-06-28 07:00:00,65.4666666666667,63.7666666666667,881.642,375.469666666667,3.032,3.7625,4.06683333333333
"40",2024-06-28 08:00:00,67.0333333333333,62.5666666666667,881.581333333333,355.413666666667,2.96633333333333,3.6365,3.9125
"41",2024-06-28 09:00:00,62.6551724137931,62.8965517241379,881.44,NA,2.11896551724138,2.6301724137931,2.83258620689655
"42",2024-06-28 10:00:00,54.1333333333333,63.7333333333333,881.324,327.522666666667,0.6555,0.947833333333333,1.08
"43",2024-06-28 11:00:00,61,56.2758620689655,881.583793103448,298.924482758621,0.266724137931034,0.470172413793103,0.554137931034483
