,Crow_24hr,Hardin_24hr,Pryor_24hr,Wyola_24hr
0,1.20583333333333,0.0508673469387755,3.4388,0.845161290322581
1,5.03818309859155,0.024895251396648,3.00869985141159,3.46161764705882
2,1.79782426778243,0.472965277777778,0.820641748942172,1.14658227848101
3,1.89124478442281,1.87208100558659,2.08053445850914,0.0866405135520685
4,1.57403792134831,1.57569037656904,1.02929469273743,0.581760450160772
5,2.91481818181818,2.09629213483146,0.413071030640669,1.53851428571429
6,3.66046153846154,3.4747419804742,0.376842837273992,1.36270194986072
7,4.64686013986014,6.94186369958275,1.44951117318436,2.13409663865546
8,4.87653631284916,3.39385257301808,1.77884724186704,0.974537166900421
9,13.7618837535014,3.94220138888889,1.98718398876405,2.91426863572433
10,5.92382517482517,6.11776462395543,1.04409916201117,3.07936886395512
11,7.39129707112971,4.4633125,2.83975317348378,3.58902250351617
12,4.83312849162011,5.21096590909091,3.51664556962025,3.53386524822695
13,5.81305049088359,12.143776077886,3.38622036262204,4.59693055555556
14,6.10446629213483,19.8144645340751,2.67380084151473,6.18860252808989
15,14.4688857545839,18.5813668061367,3.90925279329609,13.3629090909091
16,21.8524050632911,18.3095334261838,4.90023021582734,18.6423417721519
17,24.9277144866385,16.7094516594517,20.751484375,18.8906882022472
18,40.2044273743017,22.3881976744186,20.0505369595537,24.0229275362319
19,23.1484343434343,23.5475588697017,18.3672835195531,14.3931222056632
20,21.275480349345,17.3981489361702,22.0587621696801,13.3908639143731
21,23.8409449404762,23.6543609550562,24.5970911722142,41.823236677116
22,29.1185724743777,24.7108470764618,12.4165752461322,46.0405555555556
23,27.8096506550218,20.8779656160458,10.4373882681564,23.2610167130919
24,26.5902727272727,39.1350663716814,33.4004184100418,20.1578969359331
25,22.9616043613707,48.8235238784371,28.0251464435146,39.7423430962343
26,45.1599465648855,41.8845147679325,27.5352859135286,49.5753755215577
27,56.4779705882353,29.8322600834492,16.3329944289694,39.6014559659091
28,46.6365056022409,24.2622198879552,36.9814693593315,27.1651955307263
29,33.6936938202247,35.3810265363129,47.4036554621849,23.9551183844011
30,29.3166101694915,39.4344359331476,36.745090403338,32.0763617318436
31,39.1036180555556,45.2227094972067,26.4119097222222,40.1026671309192
32,51.1942468619247,22.6128910614525,24.644651810585,43.8041081460674
33,50.3699857954545,2.33426388888889,43.5465577190542,22.1340896358543
34,26.6580492957746,6.65093006993007,43.580926183844,2.91163407821229
35,3.52853846153846,15.5118011126565,51.4453407510431,6.35182014388489
36,7.71327949438202,18.8750976290098,52.7321997206704,15.9518454038997
37,17.5744072524407,25.1684548335975,14.7724686192469,17.3932914923291
38,21.9552598314607,19.1902359550562,2.6239916550765,17.4534669479606
39,25.3058019525802,22.7463680555556,7.30060541310541,15.5015708274895
40,22.3219214586255,26.2492618384401,19.2992638888889,18.6915664335664
41,25.6183661971831,37.8501947148818,15.6780962343096,20.8661974789916
42,22.8655167597765,18.5887134909597,15.836668984701,29.923847241867
43,37.2908774373259,22.1498958333333,14.8245479833102,25.061750348675
44,24.6871518987342,20.0927955493741,23.8041073919107,21.8692479108635
45,24.5874125874126,16.6905600814664,17.3374965229485,19.2576090014065
46,21.1622346368715,12.6577806122449,29.6545600558659,16.2627777777778
47,19.4704691876751,18.6322361111111,25.4645549374131,8.96954480796586
48,14.7286194563662,27.0697705146036,19.2565833333333,16.8707621082621
49,20.1475189393939,25.6407083333333,22.7829763560501,25.7677980364656
50,34.0378279883382,22.2418194444444,11.559768258427,18.0436643356643
51,34.2000884955752,15.0794158553547,7.8649651810585,18.6024582172702
52,24.3218871595331,11.4349236111111,15.8348958333333,9.73369230769231
53,15.5635112359551,1.72639275766017,11.4230389429764,5.99543417366947
54,11.658776,,10.1069791666667,1.76547994269341
55,3.92047685834502,,19.1564236111111,
56,,,19.9004311543811,
57,,,6.35072916666667,
58,,,1.56764914772727,
