,variable,value
158,Pryor_24hr,19.2992638888889
159,Pryor_24hr,15.6780962343096
160,Pryor_24hr,15.836668984701
161,Pryor_24hr,14.8245479833102
162,Pryor_24hr,23.8041073919107
163,Pryor_24hr,17.3374965229485
164,Pryor_24hr,29.6545600558659
165,Pryor_24hr,25.4645549374131
166,Pryor_24hr,19.2565833333333
167,Pryor_24hr,22.7829763560501
168,Pryor_24hr,11.559768258427
169,Pryor_24hr,7.8649651810585
170,Pryor_24hr,15.8348958333333
171,Pryor_24hr,11.4230389429764
172,Pryor_24hr,10.1069791666667
173,Pryor_24hr,19.1564236111111
174,Pryor_24hr,19.9004311543811
175,Pryor_24hr,6.35072916666667
176,Pryor_24hr,1.56764914772727
177,Wyola_24hr,0.845161290322581
178,Wyola_24hr,3.46161764705882
179,Wyola_24hr,1.14658227848101
180,Wyola_24hr,0.0866405135520685
181,Wyola_24hr,0.581760450160772
182,Wyola_24hr,1.53851428571429
183,Wyola_24hr,1.36270194986072
184,Wyola_24hr,2.13409663865546
185,Wyola_24hr,0.974537166900421
186,Wyola_24hr,2.91426863572433
187,Wyola_24hr,3.07936886395512
188,Wyola_24hr,3.58902250351617
189,Wyola_24hr,3.53386524822695
190,Wyola_24hr,4.59693055555556
191,Wyola_24hr,6.18860252808989
192,Wyola_24hr,13.3629090909091
193,Wyola_24hr,18.6423417721519
194,Wyola_24hr,18.8906882022472
195,Wyola_24hr,24.0229275362319
196,Wyola_24hr,14.3931222056632
197,Wyola_24hr,13.3908639143731
198,Wyola_24hr,41.823236677116
199,Wyola_24hr,46.0405555555556
200,Wyola_24hr,23.2610167130919
201,Wyola_24hr,20.1578969359331
202,Wyola_24hr,39.7423430962343
203,Wyola_24hr,49.5753755215577
204,Wyola_24hr,39.6014559659091
205,Wyola_24hr,27.1651955307263
206,Wyola_24hr,23.9551183844011
207,Wyola_24hr,32.0763617318436
208,Wyola_24hr,40.1026671309192
209,Wyola_24hr,43.8041081460674
210,Wyola_24hr,22.1340896358543
211,Wyola_24hr,2.91163407821229
212,Wyola_24hr,6.35182014388489
213,Wyola_24hr,15.9518454038997
214,Wyola_24hr,17.3932914923291
215,Wyola_24hr,17.4534669479606
216,Wyola_24hr,15.5015708274895
217,Wyola_24hr,18.6915664335664
218,Wyola_24hr,20.8661974789916
219,Wyola_24hr,29.923847241867
220,Wyola_24hr,25.061750348675
221,Wyola_24hr,21.8692479108635
222,Wyola_24hr,19.2576090014065
223,Wyola_24hr,16.2627777777778
224,Wyola_24hr,8.96954480796586
225,Wyola_24hr,16.8707621082621
226,Wyola_24hr,25.7677980364656
227,Wyola_24hr,18.0436643356643
228,Wyola_24hr,18.6024582172702
229,Wyola_24hr,9.73369230769231
230,Wyola_24hr,5.99543417366947
231,Wyola_24hr,1.76547994269341
